iter	Passed	Remaining
0	1	127
1	2	131
2	4	131
3	5	120
4	6	119
5	7	112
6	8	108
7	9	105
8	10	105
9	11	104
10	12	104
11	13	101
12	14	99
13	16	99
14	17	98
15	18	96
16	19	94
17	20	93
18	21	92
19	22	91
20	23	89
21	24	87
22	25	86
23	27	85
24	28	84
25	29	83
26	30	82
27	31	80
28	32	80
29	33	79
30	35	77
31	35	76
32	37	75
33	38	74
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	57
49	56	56
50	57	54
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	64	46
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	105	7
93	106	6
94	107	5
95	108	4
96	110	3
97	111	2
98	112	1
99	113	0
